,write.txt
a,0.005578631170702875
aa,0.007720210190515517
aaa,8.50154242269669e-05
aaaa,1.4169237371161148e-05
aaaaa,4.048353534617471e-06
aaaaaaa,2.0241767673087356e-06
aaaaaaaaa,2.0241767673087356e-06
aaaaaan,2.0241767673087356e-06
aaaaiiiiiiiii,2.0241767673087356e-06
aaai,2.0241767673087356e-06
aaaiii,2.0241767673087356e-06
aaaiiiieeee,2.0241767673087356e-06
aaao,2.0241767673087356e-06
aaas,2.0241767673087356e-06
aad,0.00013966819694430276
aae,3.238682827693977e-05
aaea,2.0241767673087356e-06
aaei,2.0241767673087356e-06
aaen,4.048353534617471e-06
aai,3.4411005044248507e-05
aaiie,2.0241767673087356e-06
aain,2.0241767673087356e-06
aais,2.0241767673087356e-06
aal,6.072530301926206e-06
aan,0.00011740225250390666
aao,0.00012954731310775908
aaoo,2.0241767673087356e-06
aar,1.2145060603852413e-05
aas,3.238682827693977e-05
aat,2.0241767673087355e-05
aau,8.096707069234942e-06
aaun,1.0120883836543678e-05
ab,0.0030180475600573246
ac,0.0017043568380739553
ad,0.0009149278988235484
ae,9.513630806351057e-05
aen,4.048353534617471e-06
af,0.0005505760807079761
ag,0.001346077550260309
ah,0.0001356198434096853
ai,0.0012529654189641073
aiad,2.0241767673087356e-06
aid,2.0241767673087356e-06
aieeeeeeeee,2.0241767673087356e-06
aii,4.048353534617471e-06
aiii,2.0241767673087356e-06
ail,4.048353534617471e-06
ain,0.00020849020703279976
aio,4.048353534617471e-06
air,1.6193414138469885e-05
ais,2.2265944440396092e-05
aj,0.00029957816156169284
ak,0.00036030346458095495
al,0.002358165933914677
am,0.0013258357825872218
an,0.005532075105054774
ao,7.287036362311447e-05
aoo,4.048353534617471e-06
aooo,4.048353534617471e-06
aooooo,2.0241767673087356e-06
aou,2.0241767673087356e-06
ap,0.0032811905398074603
aq,1.0120883836543678e-05
ar,0.0023622142874492945
as,0.0013683434947007053
at,0.0017387678431182037
au,0.0020403701814472055
aun,5.060441918271839e-05
aur,6.072530301926206e-06
aus,0.00010930554543467172
aut,8.096707069234942e-06
av,0.00016193414138469884
aw,0.0005465277271733586
ax,2.8338474742322296e-05
ay,0.0003481584039771025
az,3.4411005044248507e-05
b,0.004155634903284834
