,3_text.txt
a,0.0062536514867316505
aa,0.0014029396390024906
aaa,2.6905691706897083e-05
aaaa,1.537468097536976e-05
aaaaa,3.84367024384244e-06
aaaaaaa,3.84367024384244e-06
aaaaaaaaahhh,3.84367024384244e-06
aaaaaand,3.84367024384244e-06
aaaaayyyyiiii,3.84367024384244e-06
aaaachhiii,3.84367024384244e-06
aaaah,7.68734048768488e-06
aaaaiiiiiiiii,3.84367024384244e-06
aaag,3.84367024384244e-06
aaah,1.153101073152732e-05
aaahh,7.68734048768488e-06
aaahuhuhu,3.84367024384244e-06
aaai,3.84367024384244e-06
aaaiiiieeee,3.84367024384244e-06
aaaiiiyyyeeee,3.84367024384244e-06
aaaj,1.537468097536976e-05
aaajao,3.84367024384244e-06
aaan,3.84367024384244e-06
aaao,3.84367024384244e-06
aaap,1.153101073152732e-05
aaapka,3.84367024384244e-06
aaapko,3.84367024384244e-06
aaapp,3.84367024384244e-06
aaapse,3.84367024384244e-06
aaaptards,3.84367024384244e-06
aaara,3.84367024384244e-06
aaasaya,3.84367024384244e-06
aaashirwad,3.84367024384244e-06
aaatankbadi,3.84367024384244e-06
aaate,7.68734048768488e-06
aab,5.3811383413794166e-05
aabadi,7.68734048768488e-06
aabay,3.84367024384244e-06
aabhe,3.84367024384244e-06
aabhi,7.68734048768488e-06
aabki,3.84367024384244e-06
aabmi,3.84367024384244e-06
aacha,2.6905691706897083e-05
aache,1.537468097536976e-05
aachha,3.84367024384244e-06
aachi,1.153101073152732e-05
aad,1.153101073152732e-05
aadab,3.84367024384244e-06
aadami,2.306202146305464e-05
aadani,3.84367024384244e-06
aadarniy,3.84367024384244e-06
aadarshstate,3.84367024384244e-06
aadarshwaad,3.84367024384244e-06
aadat,3.459303219458196e-05
aadatein,3.84367024384244e-06
aadaten,3.84367024384244e-06
aade,3.84367024384244e-06
aadha,3.84367024384244e-06
aadhar,3.84367024384244e-06
aadharsh,3.84367024384244e-06
aadhe,1.153101073152732e-05
aadhi,1.537468097536976e-05
aadhikr,3.84367024384244e-06
aadhri,3.84367024384244e-06
aadiwasi,3.84367024384244e-06
aadmi,0.0002190892038990191
aae,1.9218351219212203e-05
aaeam,3.84367024384244e-06
aaega,2.306202146305464e-05
aaege,3.84367024384244e-06
aaegi,1.153101073152732e-05
aaein,3.84367024384244e-06
aaenge,7.68734048768488e-06
aaey,3.84367024384244e-06
aafat,3.84367024384244e-06
aag,3.8436702438424406e-05
aagaaz,3.84367024384244e-06
aagai,3.84367024384244e-06
aagar,7.68734048768488e-06
aagaya,3.074936195073952e-05
aagaye,1.537468097536976e-05
aagayi,3.84367024384244e-06
aage,0.00018449617170443713
aagey,7.68734048768488e-06
aagle,3.84367024384244e-06
aagman,3.84367024384244e-06
aagrahi,3.84367024384244e-06
aagya,2.306202146305464e-05
aagye,7.68734048768488e-06
aagyii,3.84367024384244e-06
aah,1.9218351219212203e-05
aaha,3.84367024384244e-06
aahe,3.84367024384244e-06
aahee,3.84367024384244e-06
aahhoooommmm,3.84367024384244e-06
aahoo,1.537468097536976e-05
aai,3.074936195073952e-05
aaiieytoh,3.84367024384244e-06
aailaaaa,3.84367024384244e-06
aainda,3.84367024384244e-06
aaisha,3.84367024384244e-06
aaiye,3.84367024384244e-06
aaiyena,3.84367024384244e-06
aaiyne,3.84367024384244e-06
aaiyo,3.84367024384244e-06
aaiyu,1.537468097536976e-05
aaj,0.0012184434672980536
aaja,5.7655053657636605e-05
aajaao,3.84367024384244e-06
aajaatah,3.84367024384244e-06
aajadi,1.537468097536976e-05
aajaiga,3.84367024384244e-06
aajam,3.84367024384244e-06
aajao,3.459303219458196e-05
aajaunga,3.84367024384244e-06
aajaye,3.84367024384244e-06
aajayenge,3.84367024384244e-06
aajjjaa,3.84367024384244e-06
aajkal,8.071707512069125e-05
aajkiparty,3.84367024384244e-06
aajkl,7.68734048768488e-06
aajo,1.537468097536976e-05
aajoa,3.84367024384244e-06
aajtak,7.68734048768488e-06
aakar,2.6905691706897083e-05
aake,2.6905691706897083e-05
aakh,3.84367024384244e-06
aakhen,3.84367024384244e-06
aakher,3.84367024384244e-06
aakhir,3.459303219458196e-05
aakhiri,7.68734048768488e-06
aakhirkaar,3.84367024384244e-06
aakho,3.84367024384244e-06
aakhon,3.84367024384244e-06
aakhri,1.153101073152732e-05
aaki,3.84367024384244e-06
aako,3.84367024384244e-06
aakr,3.84367024384244e-06
aal,3.84367024384244e-06
aalag,3.84367024384244e-06
aalam,3.84367024384244e-06
aalasis,3.84367024384244e-06
aalay,3.84367024384244e-06
aale,3.84367024384244e-06
aali,3.84367024384244e-06
aallaahh,3.84367024384244e-06
aallah,3.84367024384244e-06
aaloo,3.84367024384244e-06
aalsi,3.84367024384244e-06
aalu,3.84367024384244e-06
aam,0.00020755819316749176
aamaadmikisarkaar,3.84367024384244e-06
aamaadmikisarkar,3.84367024384244e-06
aamaadmiparty,7.68734048768488e-06
aamaal,3.84367024384244e-06
aameen,7.68734048768488e-06
aamir,4.2280372682266844e-05
aamirkhan,7.68734048768488e-06
aamirr,3.84367024384244e-06
aammaa,3.84367024384244e-06
aan,3.074936195073952e-05
aana,0.00015374680975369762
aanahai,3.84367024384244e-06
aanahi,3.84367024384244e-06
aanaji,3.84367024384244e-06
aanand,3.84367024384244e-06
