,Inverse Document Frequency
a,-0.6931471805599453
aa,-0.6931471805599453
aaa,-0.6931471805599453
aaaa,-0.6931471805599453
aaaaa,-0.6931471805599453
aaaaaaa,-0.6931471805599453
aaaaaaaaahhh,-0.6931471805599453
aaaaaand,-0.6931471805599453
aaaaayyyyiiii,-0.6931471805599453
aaaachhiii,-0.6931471805599453
aaaah,-0.6931471805599453
aaaaiiiiiiiii,-0.6931471805599453
aaag,-0.6931471805599453
aaah,-0.6931471805599453
aaahh,-0.6931471805599453
aaahuhuhu,-0.6931471805599453
aaai,-0.6931471805599453
aaaiiiieeee,-0.6931471805599453
aaaiiiyyyeeee,-0.6931471805599453
aaaj,-0.6931471805599453
aaajao,-0.6931471805599453
aaan,-0.6931471805599453
aaao,-0.6931471805599453
aaap,-0.6931471805599453
aaapka,-0.6931471805599453
aaapko,-0.6931471805599453
aaapp,-0.6931471805599453
aaapse,-0.6931471805599453
aaaptards,-0.6931471805599453
aaara,-0.6931471805599453
aaasaya,-0.6931471805599453
aaashirwad,-0.6931471805599453
aaatankbadi,-0.6931471805599453
aaate,-0.6931471805599453
aab,-0.6931471805599453
aabadi,-0.6931471805599453
aabay,-0.6931471805599453
aabhe,-0.6931471805599453
aabhi,-0.6931471805599453
aabki,-0.6931471805599453
aabmi,-0.6931471805599453
aacha,-0.6931471805599453
aache,-0.6931471805599453
aachha,-0.6931471805599453
aachi,-0.6931471805599453
aad,-0.6931471805599453
aadab,-0.6931471805599453
aadami,-0.6931471805599453
aadani,-0.6931471805599453
aadarniy,-0.6931471805599453
aadarshstate,-0.6931471805599453
aadarshwaad,-0.6931471805599453
aadat,-0.6931471805599453
aadatein,-0.6931471805599453
aadaten,-0.6931471805599453
aade,-0.6931471805599453
aadha,-0.6931471805599453
aadhar,-0.6931471805599453
aadharsh,-0.6931471805599453
aadhe,-0.6931471805599453
aadhi,-0.6931471805599453
aadhikr,-0.6931471805599453
aadhri,-0.6931471805599453
aadiwasi,-0.6931471805599453
aadmi,-0.6931471805599453
aae,-0.6931471805599453
aaeam,-0.6931471805599453
aaega,-0.6931471805599453
aaege,-0.6931471805599453
aaegi,-0.6931471805599453
aaein,-0.6931471805599453
aaenge,-0.6931471805599453
aaey,-0.6931471805599453
aafat,-0.6931471805599453
aag,-0.6931471805599453
aagaaz,-0.6931471805599453
aagai,-0.6931471805599453
aagar,-0.6931471805599453
aagaya,-0.6931471805599453
aagaye,-0.6931471805599453
aagayi,-0.6931471805599453
aage,-0.6931471805599453
aagey,-0.6931471805599453
aagle,-0.6931471805599453
aagman,-0.6931471805599453
aagrahi,-0.6931471805599453
aagya,-0.6931471805599453
aagye,-0.6931471805599453
aagyii,-0.6931471805599453
aah,-0.6931471805599453
aaha,-0.6931471805599453
aahe,-0.6931471805599453
aahee,-0.6931471805599453
aahhoooommmm,-0.6931471805599453
aahoo,-0.6931471805599453
aai,-0.6931471805599453
aaiieytoh,-0.6931471805599453
aailaaaa,-0.6931471805599453
aainda,-0.6931471805599453
aaisha,-0.6931471805599453
aaiye,-0.6931471805599453
aaiyena,-0.6931471805599453
aaiyne,-0.6931471805599453
aaiyo,-0.6931471805599453
aaiyu,-0.6931471805599453
aaj,-0.6931471805599453
aaja,-0.6931471805599453
aajaao,-0.6931471805599453
aajaatah,-0.6931471805599453
aajadi,-0.6931471805599453
aajaiga,-0.6931471805599453
aajam,-0.6931471805599453
aajao,-0.6931471805599453
aajaunga,-0.6931471805599453
aajaye,-0.6931471805599453
aajayenge,-0.6931471805599453
aajjjaa,-0.6931471805599453
aajkal,-0.6931471805599453
aajkiparty,-0.6931471805599453
aajkl,-0.6931471805599453
aajo,-0.6931471805599453
aajoa,-0.6931471805599453
aajtak,-0.6931471805599453
aakar,-0.6931471805599453
aake,-0.6931471805599453
aakh,-0.6931471805599453
aakhen,-0.6931471805599453
aakher,-0.6931471805599453
aakhir,-0.6931471805599453
aakhiri,-0.6931471805599453
aakhirkaar,-0.6931471805599453
aakho,-0.6931471805599453
aakhon,-0.6931471805599453
aakhri,-0.6931471805599453
aaki,-0.6931471805599453
aako,-0.6931471805599453
aakr,-0.6931471805599453
aal,-0.6931471805599453
aalag,-0.6931471805599453
aalam,-0.6931471805599453
aalasis,-0.6931471805599453
aalay,-0.6931471805599453
aale,-0.6931471805599453
aali,-0.6931471805599453
aallaahh,-0.6931471805599453
aallah,-0.6931471805599453
aaloo,-0.6931471805599453
aalsi,-0.6931471805599453
aalu,-0.6931471805599453
aam,-0.6931471805599453
aamaadmikisarkaar,-0.6931471805599453
aamaadmikisarkar,-0.6931471805599453
aamaadmiparty,-0.6931471805599453
aamaal,-0.6931471805599453
aameen,-0.6931471805599453
aamir,-0.6931471805599453
aamirkhan,-0.6931471805599453
aamirr,-0.6931471805599453
aammaa,-0.6931471805599453
aan,-0.6931471805599453
aana,-0.6931471805599453
aanahai,-0.6931471805599453
aanahi,-0.6931471805599453
aanaji,-0.6931471805599453
aanand,-0.6931471805599453
aandhi,-0.6931471805599453
aandolan,-0.6931471805599453
