,write.txt
a,-0.003866812467356525
aa,-0.005351241926885989
aaa,-5.892820160702977e-05
aaaa,-9.821366934504961e-06
aaaaa,-2.806104838429989e-06
aaaaaaa,-1.4030524192149946e-06
aaaaaaaaa,-1.4030524192149946e-06
aaaaaan,-1.4030524192149946e-06
aaaaiiiiiiiii,-1.4030524192149946e-06
aaai,-1.4030524192149946e-06
aaaiii,-1.4030524192149946e-06
aaaiiiieeee,-1.4030524192149946e-06
aaao,-1.4030524192149946e-06
aaas,-1.4030524192149946e-06
aad,-9.681061692583463e-05
aae,-2.2448838707439913e-05
aaea,-1.4030524192149946e-06
aaei,-1.4030524192149946e-06
aaen,-2.806104838429989e-06
aai,-2.385189112665491e-05
aaiie,-1.4030524192149946e-06
aain,-1.4030524192149946e-06
aais,-1.4030524192149946e-06
aal,-4.209157257644983e-06
aan,-8.137704031446968e-05
aao,-8.979535482975965e-05
aaoo,-1.4030524192149946e-06
aar,-8.418314515289966e-06
aas,-2.2448838707439913e-05
aat,-1.4030524192149944e-05
aau,-5.612209676859978e-06
aaun,-7.015262096074972e-06
ab,-0.002091951157049557
ac,-0.0011813701369790253
ad,-0.0006341796934851775
ae,-6.594346370310474e-05
aen,-2.806104838429989e-06
af,-0.00038163025802647854
ag,-0.0009330298587779713
ah,-9.400451208740463e-05
ai,-0.0008684894474940816
aiad,-1.4030524192149946e-06
aid,-1.4030524192149946e-06
aieeeeeeeee,-1.4030524192149946e-06
aii,-2.806104838429989e-06
aiii,-1.4030524192149946e-06
ail,-2.806104838429989e-06
ain,-0.00014451439917914443
aio,-2.806104838429989e-06
air,-1.1224419353719957e-05
ais,-1.543357661136494e-05
aj,-0.00020765175804381917
ak,-0.00024974333062026903
al,-0.0016345560683854686
am,-0.0009189993345858214
an,-0.0038345422617145795
ao,-5.0509887091739794e-05
aoo,-2.806104838429989e-06
aooo,-2.806104838429989e-06
aooooo,-1.4030524192149946e-06
aou,-1.4030524192149946e-06
ap,-0.002274347971547506
aq,-7.015262096074972e-06
ar,-0.0016373621732238986
as,-0.0009484634353893363
at,-0.0012052220281056803
au,-0.0014142768385687144
aun,-3.5076310480374864e-05
aur,-4.209157257644983e-06
aus,-7.576483063760971e-05
aut,-5.612209676859978e-06
av,-0.00011224419353719955
aw,-0.00037882415318804855
ax,-1.9642733869009923e-05
ay,-0.00024132501610497906
az,-2.385189112665491e-05
b,-0.0028804666166483838
ba,-0.005448052543811824
baa,-0.0013483333748656096
baaa,-7.015262096074972e-06
baaaa,-2.806104838429989e-06
baaaaa,-1.4030524192149946e-06
baaat,-1.4030524192149946e-06
baan,-5.612209676859978e-06
baar,-7.015262096074972e-06
baas,-4.209157257644983e-06
baat,-2.806104838429989e-06
bad,-0.00016556018546736933
bae,-2.806104838429989e-06
bai,-4.910683467252481e-05
baiiii,-1.4030524192149946e-06
baiit,-1.4030524192149946e-06
bain,-1.4030524192149946e-06
bais,-1.4030524192149946e-06
bait,-0.00011364724595641456
bal,-0.00018660597175559427
ban,-0.00044757372172958326
bao,-1.4030524192149946e-06
baou,-1.4030524192149946e-06
bar,-0.00012346861289091953
bas,-6.454041128388975e-05
bat,-0.00012487166531013452
bau,-9.821366934504961e-06
baut,-2.806104838429989e-06
bb,-2.6657995965084892e-05
bba,-3.6479362899589855e-05
bbaas,-1.4030524192149946e-06
bbal,-1.4030524192149946e-06
bban,-4.209157257644983e-06
bbar,-5.612209676859978e-06
bbb,-5.612209676859978e-06
bbbb,-1.4030524192149946e-06
bbbbb,-1.4030524192149946e-06
bbbbbbbbbb,-1.4030524192149946e-06
bbc,-1.4030524192149946e-06
bbe,-1.543357661136494e-05
bber,-2.806104838429989e-06
bbh,-1.4030524192149946e-06
bbhu,-1.4030524192149946e-06
bbi,-1.1224419353719957e-05
bbin,-4.209157257644983e-06
bbis,-2.806104838429989e-06
bbit,-1.4030524192149946e-06
bble,-2.806104838429989e-06
bbo,-1.4030524192149946e-06
bbor,-1.4030524192149946e-06
bbs,-1.4030524192149946e-06
bbt,-4.209157257644983e-06
bbthi,-4.209157257644983e-06
bbu,-5.612209676859978e-06
bby,-5.612209676859978e-06
bbye,-2.806104838429989e-06
bc,-0.00012346861289091953
bca,-4.209157257644983e-06
bcau,-1.4030524192149946e-06
bcci,-2.806104838429989e-06
bch,-1.4030524192149946e-06
bcha,-1.1224419353719957e-05
bchai,-1.4030524192149946e-06
bchche,-1.4030524192149946e-06
bchchi,-1.4030524192149946e-06
bche,-1.4030524192149946e-06
bchpa,-2.806104838429989e-06
bchpn,-1.4030524192149946e-06
bck,-4.209157257644983e-06
bcm,-4.209157257644983e-06
bco,-4.068852015723484e-05
bcpn,-1.4030524192149946e-06
bcu,-2.806104838429989e-06
bcz,-9.821366934504961e-06
bd,-4.489767741487983e-05
bda,-5.6122096768599775e-05
bdbo,-1.4030524192149946e-06
bdda,-2.806104838429989e-06
bde,-1.4030524192149944e-05
bdha,-5.612209676859978e-06
bdhaai,-1.4030524192149946e-06
bdhai,-2.806104838429989e-06
bdhi,-2.806104838429989e-06
bdho,-1.4030524192149946e-06
bdhya,-1.4030524192149946e-06
bdi,-3.227020564194487e-05
bdia,-1.4030524192149946e-06
bdkr,-1.4030524192149946e-06
bdl,-1.4030524192149946e-06
bdle,-1.4030524192149946e-06
bdlen,-1.4030524192149946e-06
bdna,-1.4030524192149946e-06
bdo,-1.4030524192149946e-06
bdti,-1.4030524192149946e-06
bdu,-1.4030524192149946e-06
bdw,-1.4030524192149946e-06
bdy,-2.806104838429989e-06
be,-0.002354321959442761
bea,-8.839230241054465e-05
bead,-1.4030524192149946e-06
bean,-1.4030524192149946e-06
bear,-7.015262096074972e-06
beas,-4.209157257644983e-06
beat,-8.418314515289966e-06
beau,-5.7525149187814774e-05
beaut,-1.4030524192149944e-05
bed,-2.806104838429989e-06
bee,-0.0005457873910746329
beeee,-1.4030524192149946e-06
been,-1.4030524192149946e-06
bei,-9.821366934504961e-06
beia,-1.4030524192149946e-06
bein,-0.0001276777701485645
bel,-6.734651612231973e-05
ben,-3.5076310480374864e-05
ber,-2.8061048384299887e-05
bes,-0.0004082882539915634
bet,-0.00024132501610497906
bf,-5.892820160702977e-05
bful,-1.4030524192149946e-06
bfz,-1.4030524192149946e-06
bg,-2.806104838429989e-06
bga,-1.4030524192149946e-06
bgai,-1.4030524192149946e-06
bgu,-1.4030524192149946e-06
bgv,-1.4030524192149946e-06
bh,-0.00017117239514422933
